"","PostWilcox_p","PostTtest_adj_p"
"Bacteroides cellulosilyticus",0.260978804477257,0.427654343471135
"Bacteroides fragilis",0.0804000952607764,0.265729128404261
"Eggerthella lenta",0.294724934508216,0.450755782189037
"Adlercreutzia hattorii",0.940843057870922,0.968149848468759
"Plasmodium malariae",0.151940938318647,0.313528920340066
"Faecalibacterium sp. I2392",0.0561919504643963,0.25071755059454
"Aminipila luticellarii",0.0921560834007959,0.270943029536056
"Bifidobacterium animalis",0.703936896060494,0.812366650626912
"Alistipes senegalensis",0.00969278399618957,0.217105263157895
"Bacillus velezensis",0.766432483924744,0.851591648805271
"Bacteroides salyersiae",0.0674446296737318,0.25071755059454
"Erysipelatoclostridium ramosum",0.294724934508216,0.450755782189037
"Lacticaseibacillus rhamnosus",0.331162181471779,0.489216858992401
"Clostridium saccharoperbutylacetonicum",0.175410812098119,0.332088430671195
"Enterobacter hormaechei",0.147349277476799,0.313528920340066
"Actinomyces viscosus",0.151940938318647,0.313528920340066
"Enterococcus gallinarum",0.655632293403191,0.78675875208383
"Veillonella rodentium",0.940843057870922,0.968149848468759
"Clostridioides difficile",0.0381281257442248,0.25071755059454
"Collinsella aerofaciens",0.201369373660395,0.365274677802578
"Streptococcus sp. 116-D4",0.879183314946495,0.934711098398169
"Brevibacillus laterosporus",0.456096689688021,0.609170236227151
"Amedibacterium intestinale",0.175410812098119,0.332088430671195
"Streptococcus salivarius",0.655632293403191,0.78675875208383
"Dictyostelium discoideum",0.0561919504643963,0.25071755059454
"Megasphaera massiliensis",0.42485650438126,0.581382584942777
"Listeria monocytogenes",0.331162181471779,0.489216858992401
"[Eubacterium] rectale",0.655632293403191,0.78675875208383
"Homo sapiens",0.823755656108597,0.889929933192113
"Hungatella hathewayi",0.012467254108121,0.217105263157895
"Lachnoclostridium phytofermentans",0.0804000952607764,0.265729128404261
"Enterococcus mundtii",0.331162181471779,0.489216858992401
"[Ruminococcus] gnavus",0.294724934508216,0.450755782189037
"Intestinibaculum porci",0.403140699240305,0.565631404526229
"Streptococcus pseudopneumoniae",0.760859055641481,0.851591648805271
"Lachnoclostridium sp. YL32",0.0381281257442248,0.25071755059454
"Clostridium septicum",0.223447668907182,0.388082505729565
"Niallia circulans",0.370219099785663,0.532787634377892
"Clostridium tetani",0.110478032109185,0.287222991689751
"uncultured Blautia sp.",0.294724934508216,0.450755782189037
"Parabacteroides merdae",0.0016432483924744,0.204334365325077
"Clostridium thermarum",0.128499438498768,0.298327087067514
"Enterobacter cloacae",0.402609181693157,0.565631404526229
"[Clostridium] hylemonae",0.0674446296737318,0.25071755059454
"Bacteroides eggerthii",0.0561919504643963,0.25071755059454
"Streptococcus sp. HSISS2",0.602679209335556,0.750942145817466
"Streptococcus sp. HSISS3",0.502726839723744,0.647074150139472
"Streptococcus sp. HSISS1",0.0672106371806813,0.25071755059454
"Dorea longicatena",0.175410812098119,0.332088430671195
"Roseburia intestinalis",0.175410812098119,0.332088430671195
"Faecalibacterium sp. HTFF",0.0250535841867111,0.244272445820433
"Lachnospira eligens",0.502726839723744,0.647074150139472
"Salmonella enterica",0.940843057870922,0.968149848468759
"Parabacteroides distasonis",0.0250535841867111,0.244272445820433
"Pediococcus acidilactici",0.502726839723744,0.647074150139472
"Bifidobacterium dentium",0.411895689449869,0.565631404526229
"Streptococcus gwangjuense",0.402609181693157,0.565631404526229
"Vallitalea pronyensis",0.402609181693157,0.565631404526229
"Finegoldia magna",0.0200404858299595,0.217105263157895
"[Ruminococcus] torques",0.260978804477257,0.427654343471135
"Clostridium chauvoei",0.502726839723744,0.647074150139472
"Wujia chipingensis",0.201369373660395,0.365274677802578
"Streptococcus infantarius",0.879047772250549,0.934711098398169
"Schaalia meyeri",0.456096689688021,0.609170236227151
"Christensenella sp. Marseille-P3954",0.0518165963423716,0.25071755059454
"Coprobacter secundus",0.148726708331976,0.313528920340066
"Monoglobus pectinilyticus",0.151940938318647,0.313528920340066
"CrAssphage GF1-2_000079F",0.120540178355425,0.298327087067514
"Faecalibacterium sp. I3333",0.0561919504643963,0.25071755059454
"Blautia obeum",0.111943319838057,0.287222991689751
"Paeniclostridium sordellii",0.130804953560372,0.298327087067514
"Enterocloster bolteae",0.012467254108121,0.217105263157895
"Coprococcus comes",0.095177423195999,0.270943029536056
"Serratia marcescens",0.0142996274737269,0.217105263157895
"Blautia wexlerae",0.502726839723744,0.647074150139472
"Erysipelotrichaceae bacterium I46",0.0914886954460287,0.270943029536056
"Clostridium novyi",0.0801132907760784,0.265729128404261
"Ruminococcus sp. FMBCY1",0.403140699240305,0.565631404526229
"Streptococcus oralis",1,1
"Clostridium baratii",0.171299144100161,0.332088430671195
"Butyrivibrio proteoclasticus",0.148726708331976,0.313528920340066
"Enterococcus casseliflavus",0.766432483924744,0.851591648805271
"Streptococcus equi",0.0674446296737318,0.25071755059454
"Prevotella intermedia",0.881983805668016,0.934711098398169
"Phocaeicola dorei",0.370219099785663,0.532787634377892
"Actinomyces naeslundii",0.602679209335556,0.750942145817466
"Blautia massiliensis",0.260978804477257,0.427654343471135
"Streptococcus rubneri",1,1
"Turicibacter sp. H121",0.151940938318647,0.313528920340066
"Streptococcus ilei",0.710300071445582,0.812366650626912
"Anaerotruncus colihominis",0.111943319838057,0.287222991689751
"Romboutsia ilealis",0.260978804477257,0.427654343471135
"Ruthenibacterium lactatiformans",0.229864253393665,0.388082505729565
"Parabacteroides johnsonii",0.0561919504643963,0.25071755059454
"Megasphaera stantonii",0.11007577052749,0.287222991689751
"Streptococcus gallolyticus",0.411895689449869,0.565631404526229
"Bacillus cereus",0.823755656108597,0.889929933192113
"Acidaminococcus intestini",0.0571442869707487,0.25071755059454
"Massilistercora timonensis",0.0464515360800191,0.25071755059454
"Ruminococcus sp. SR1/5",0.0674446296737318,0.25071755059454
"Gemella haemolysans",0.940843057870922,0.968149848468759
"Eggerthella guodeyinii",0.0625951640404746,0.25071755059454
"Clostridium pasteurianum",0.130804953560372,0.298327087067514
"Sellimonas intestinalis",0.0674446296737318,0.25071755059454
"Alistipes onderdonkii",0.370219099785663,0.532787634377892
"Erysipelotrichaceae bacterium 66202529",0.0200404858299595,0.217105263157895
"Streptococcus sp. HSISM1",0.411895689449869,0.565631404526229
"CrAssphage sp. C0526BW15",0.281074089200166,0.450755782189037
"Eubacterium sp. c-25",0.201369373660395,0.365274677802578
"Alistipes dispar",0.018469379527837,0.217105263157895
"Lacticaseibacillus paracasei",0.823755656108597,0.889929933192113
"Solibaculum mannosilyticum",0.0571442869707487,0.25071755059454
"Blautia sp. SC05B48",0.095177423195999,0.270943029536056
"Staphylococcus epidermidis",0.710300071445582,0.812366650626912
"Buchnera aphidicola",0.111943319838057,0.287222991689751
"Lachnospiraceae bacterium GAM79",0.175410812098119,0.332088430671195
"Tissierella sp. JN-28",0.018469379527837,0.217105263157895
"Streptococcus equinus",0.229864253393665,0.388082505729565
"[Clostridium] symbiosum",0.130804953560372,0.298327087067514
"Lactococcus garvieae",0.710300071445582,0.812366650626912
"Faecalibacillus intestinalis",0.370219099785663,0.532787634377892
"Blautia argi",0.331162181471779,0.489216858992401
"Klebsiella michiganensis",0.0941422173535053,0.270943029536056
"Bacteroides sp. A1C1",0.138328385978158,0.313528920340066
"Bacteroides luhongzhouii",0.0674446296737318,0.25071755059454
"Streptococcus mutans",0.710300071445582,0.812366650626912
"Catenibacterium sp. co_0103",0.229864253393665,0.388082505729565
"Enterococcus lactis",0.823755656108597,0.889929933192113
"Pseudomonas aeruginosa",0.00969278399618957,0.217105263157895
"uncultured Clostridia bacterium",0.0561919504643963,0.25071755059454
"Terrisporobacter glycolicus",0.170815547864255,0.332088430671195
"Bifidobacterium bifidum",0.541803759682198,0.695077191697557
"Dysosmobacter sp. Marseille-Q4140",0.00314360562038581,0.204334365325077
"Lactobacillus delbrueckii",0.710300071445582,0.812366650626912
"Bacteroides nordii",0.0464515360800191,0.25071755059454
"Veillonella parvula",0.551631340795428,0.705364665279399
"Clostridium cadaveris",0.0804000952607764,0.265729128404261
"Herbinix luporum",0.095177423195999,0.270943029536056
"Parvimonas micra",0.0381281257442248,0.25071755059454
"Lactobacillus acidophilus",0.602679209335556,0.750942145817466
"Streptococcus suis",0.229864253393665,0.388082505729565
"Streptococcus sp. A12",0.766432483924744,0.851591648805271
"Bacteriophage sp.",0.710300071445582,0.812366650626912
"Enterococcus faecium",0.370219099785663,0.532787634377892
"Actinomyces oris",0.111943319838057,0.287222991689751
"Clostridium manihotivorum",0.331162181471779,0.489216858992401
"Enterocloster clostridioformis",0.012467254108121,0.217105263157895
"Faecalitalea cylindroides",0.0561919504643963,0.25071755059454
"Citrobacter freundii",0.447240864934431,0.609170236227151
"Lactobacillus gasseri",0.201369373660395,0.365274677802578
"Butyricimonas faecalis",0.0481480185503487,0.25071755059454
"Bacteroides intestinalis",0.0310311979042629,0.25071755059454
"Gemella sanguinis",0.648380074972605,0.78675875208383
"Pusillibacter faecalis",0.294724934508216,0.450755782189037
"Actinomyces sp. oral taxon 171",0.0381281257442248,0.25071755059454
"Clostridium perfringens",0.095177423195999,0.270943029536056
"Clostridioides sp. ES-W-0016-02",0.00760472429424089,0.217105263157895
"Bacteroides ovatus",0.0561919504643963,0.25071755059454
"Cutibacterium acnes",0.823755656108597,0.889929933192113
"Alistipes finegoldii",0.175410812098119,0.332088430671195
"Klebsiella quasipneumoniae",0.0681437445205672,0.25071755059454
"Anaerocolumna cellulosilytica",0.130804953560372,0.298327087067514
"Clostridium sp. DL-VIII",0.0945143650098976,0.270943029536056
"Streptococcus cristatus",0.823755656108597,0.889929933192113
"Candida albicans",0.602679209335556,0.750942145817466
"Streptococcus sp. FDAARGOS_192",0.294724934508216,0.450755782189037
"Blattabacterium cuenoti",0.151940938318647,0.313528920340066
"Rothia dentocariosa",0.095177423195999,0.270943029536056
"Clostridium sp. M62/1",0.0250535841867111,0.244272445820433
"Lactococcus raffinolactis",0.175410812098119,0.332088430671195
"Eubacterium sp. MSJ-33",0.171299144100161,0.332088430671195
"[Eubacterium] siraeum",0.0674446296737318,0.25071755059454
"Clostridium botulinum",0.111943319838057,0.287222991689751
"Clostridium argentinense",0.0804000952607764,0.265729128404261
"Streptococcus intermedius",0.331162181471779,0.489216858992401
"Coprococcus sp. ART55/1",0.229864253393665,0.388082505729565
"Blautia pseudococcoides",0.0158966420576328,0.217105263157895
"Priestia megaterium",0.151940938318647,0.313528920340066
"Lacrimispora saccharolytica",0.0561919504643963,0.25071755059454
"Clostridium kluyveri",0.229864253393665,0.388082505729565
"Lancefieldella parvula",0.0804000952607764,0.265729128404261
"Faecalibacterium prausnitzii",0.0674446296737318,0.25071755059454
"Streptococcus koreensis",0.655632293403191,0.78675875208383
"Butyricimonas virosa",0.00565610859728507,0.217105263157895
"Levilactobacillus brevis",0.881983805668016,0.934711098398169
"Parabacteroides goldsteinii",0.456096689688021,0.609170236227151
"Paenibacillus polymyxa",0.84930463396384,0.914996705099164
"Morganella morganii",0.0401636399587219,0.25071755059454
"Clostridium isatidis",0.502726839723744,0.647074150139472
"Campylobacter jejuni",0.229864253393665,0.388082505729565
"Clostridium beijerinckii",0.229864253393665,0.388082505729565
"Barnesiella viscericola",0.0401636399587219,0.25071755059454
"Blautia producta",0.00228625863300786,0.204334365325077
"Klebsiella variicola",0.196343631890015,0.365274677802578
"Faecalibacterium sp. I3389",0.111943319838057,0.287222991689751
"Enterococcus hirae",0.710300071445582,0.812366650626912
"Faecalibacterium sp. I4384",0.175410812098119,0.332088430671195
"Actinomyces graevenitzii",0.130804953560372,0.298327087067514
"Bifidobacterium longum",0.411895689449869,0.565631404526229
"Clostridium sp. C5S11",0.0674446296737318,0.25071755059454
"Alistipes indistinctus",0.012467254108121,0.217105263157895
"Bacteroides sp. CBA7301",0.012467254108121,0.217105263157895
"Intestinimonas butyriciproducens",0.0804000952607764,0.265729128404261
"Clostridium saccharobutylicum",0.095177423195999,0.270943029536056
"Lactococcus cremoris",0.456096689688021,0.609170236227151
"Gordonibacter urolithinfaciens",0.18201820516691,0.342932850314469
"Bifidobacterium breve",0.0804000952607764,0.265729128404261
"Roseburia sp. NSJ-69",0.456096689688021,0.609170236227151
"Clostridium bornimense",0.171299144100161,0.332088430671195
"Escherichia fergusonii",0.331162181471779,0.489216858992401
"Eubacterium limosum",0.0674446296737318,0.25071755059454
"Streptococcus sp. oral taxon 431",0.881983805668016,0.934711098398169
"Streptococcus constellatus",0.710300071445582,0.812366650626912
"Adlercreutzia equolifaciens",0.823755656108597,0.889929933192113
"Phocaeicola salanitronis",0.0574255896304688,0.25071755059454
"Clostridium intestinale",0.151940938318647,0.313528920340066
"Granulicatella adiacens",1,1
"Bacillus thuringiensis",0.294724934508216,0.450755782189037
"Anaerocolumna sedimenticola",0.201369373660395,0.365274677802578
"Alistipes shahii",0.229864253393665,0.388082505729565
"Streptococcus anginosus",0.655632293403191,0.78675875208383
"Bifidobacterium pseudocatenulatum",0.710300071445582,0.812366650626912
"Streptococcus lutetiensis",0.0945143650098976,0.270943029536056
"Coprococcus catus",0.130804953560372,0.298327087067514
"Oscillibacter sp. NSJ-62",0.0269965518421433,0.25071755059454
"Eubacterium sp. NSJ-61",0.0681437445205672,0.25071755059454
"Odoribacter splanchnicus",0.0158966420576328,0.217105263157895
"Cellulosilyticum lentocellum",0.0661751593979858,0.25071755059454
"Streptococcus australis",0.766432483924744,0.851591648805271
"Vescimonas fastidiosa",0.056582274712307,0.25071755059454
"Bacteroides uniformis",0.0381281257442248,0.25071755059454
"Acinetobacter baumannii",0.655632293403191,0.78675875208383
"Bacteroides sp. KGMB10229",0.0624605331049351,0.25071755059454
"Lactobacillus paragasseri",0.283845536304302,0.450755782189037
"Bacteroides sp. M10",0.260978804477257,0.427654343471135
"Ruminiclostridium herbifermentans",0.0478955747853722,0.25071755059454
"Faecalibacterium sp. IP329",0.370219099785663,0.532787634377892
"[Clostridium] scindens",0.260978804477257,0.427654343471135
"Bacteroides caecimuris",0.095177423195999,0.270943029536056
"Enterococcus gilvus",0.939417272093457,0.968149848468759
"Faecalicatena sp. Marseille-Q4148",0.130804953560372,0.298327087067514
"Simiaoa sunii",0.175410812098119,0.332088430671195
"Streptococcus sanguinis",0.151940938318647,0.313528920340066
"Prevotella copri",0.0804000952607764,0.265729128404261
"Limosilactobacillus oris",0.655632293403191,0.78675875208383
"Granulicatella elegans",0.710300071445582,0.812366650626912
"Streptococcus sp. LPB0220",0.331162181471779,0.489216858992401
"Veillonella dispar",0.940843057870922,0.968149848468759
"Clostridium sporogenes",0.0381281257442248,0.25071755059454
"Lachnospiraceae bacterium",0.111943319838057,0.287222991689751
"Klebsiella pneumoniae",0.260978804477257,0.427654343471135
"Terrisporobacter sp. MCA3",0.170815547864255,0.332088430671195
"Flintibacter sp. KGMB00164",0.0150126625957406,0.217105263157895
"Bacteroides xylanisolvens",0.130804953560372,0.298327087067514
"Dysosmobacter welbionis",0.0200404858299595,0.217105263157895
"Streptococcus dysgalactiae",1,1
"Actinomyces sp. HMT 175",0.0674446296737318,0.25071755059454
"Limosilactobacillus fermentum",0.881983805668016,0.934711098398169
"Clostridium neonatale",0.0381281257442248,0.25071755059454
"Anaerocolumna chitinilytica",0.095177423195999,0.270943029536056
"Clostridioides sp. ES-S-0054-01",0.0331328118016016,0.25071755059454
"Bacillus subtilis",0.710300071445582,0.812366650626912
"Tannockella kyphosi",0.148726708331976,0.313528920340066
"Veillonella nakazawae",0.940843057870922,0.968149848468759
"Lactobacillus johnsonii",0.0464515360800191,0.25071755059454
"Vallitalea guaymasensis",0.018469379527837,0.217105263157895
"Lactococcus piscium",0.939417272093457,0.968149848468759
"Mogibacterium diversum",0.411895689449869,0.565631404526229
"Streptococcus vestibularis",0.710300071445582,0.812366650626912
"Lachnoanaerobaculum umeaense",0.151940938318647,0.313528920340066
"Clostridium taeniosporum",0.151940938318647,0.313528920340066
"Latilactobacillus sakei",0.502726839723744,0.647074150139472
"Methanobrevibacter smithii",0.171299144100161,0.332088430671195
"uncultured crAssphage",0.170815547864255,0.332088430671195
"Lactococcus lactis",0.229864253393665,0.388082505729565
"Haemophilus parainfluenzae",0.761120896413584,0.851591648805271
"Eubacterium callanderi",0.0150126625957406,0.217105263157895
"Coprococcus eutactus",0.411895689449869,0.565631404526229
"Flavonifractor plautii",0.00314360562038581,0.204334365325077
"Clostridium acetobutylicum",0.0401636399587219,0.25071755059454
"Latilactobacillus curvatus",0.602679209335556,0.750942145817466
"Clostridia bacterium UC5.1-1D4",0.00423910454870207,0.217105263157895
"Longicatena caecimuris",0.0464515360800191,0.25071755059454
"Staphylococcus haemolyticus",0.411895689449869,0.565631404526229
"Actinomyces pacaensis",0.294724934508216,0.450755782189037
"Streptococcus pneumoniae",0.655632293403191,0.78675875208383
"Bifidobacterium adolescentis",0.22397093243641,0.388082505729565
"Phocaeicola coprophilus",0.151940938318647,0.313528920340066
"Romboutsia sp. CE17",0.130804953560372,0.298327087067514
"Bacillus mycoides",0.823755656108597,0.889929933192113
"Clostridium cellulovorans",0.095177423195999,0.270943029536056
"Streptococcus parasuis",0.411895689449869,0.565631404526229
"Butyrivibrio fibrisolvens",0.0401636399587219,0.25071755059454
"Alistipes megaguti",0.00774272141225165,0.217105263157895
"Lactobacillus helveticus",0.790233021976117,0.875542268666721
"Streptococcus sp. oral taxon 061",1,1
"Bacteroides sp. KGMB07931",0.00658979150777112,0.217105263157895
"Acutalibacter muris",0.0359779776839939,0.25071755059454
"Streptococcus lactarius",0.766432483924744,0.851591648805271
"Rothia mucilaginosa",0.823755656108597,0.889929933192113
"Clostridiaceae bacterium Marseille-Q4149",0.0674446296737318,0.25071755059454
"Enterococcus avium",0.940843057870922,0.968149848468759
"butyrate-producing bacterium SS3/4",0.0200404858299595,0.217105263157895
"Clostridiales bacterium CCNA10",0.00314360562038581,0.204334365325077
"Blautia sp. NBRC 113351",0.0310311979042629,0.25071755059454
"Bacteroides stercoris",0.0464515360800191,0.25071755059454
"Pseudobutyrivibrio xylanivorans",0.22397093243641,0.388082505729565
"Bacteroides sp. CACC 737",0.0310311979042629,0.25071755059454
"Bacteroides sp. HF-162",0.111943319838057,0.287222991689751
"Saccharomyces cerevisiae",0.229864253393665,0.388082505729565
"CrAssphage sp. C0531BW4",0.120540178355425,0.298327087067514
"Citrobacter portucalensis",0.10108617670713,0.285678325476673
"Bacteroides heparinolyticus",0.0661751593979858,0.25071755059454
"Phascolarctobacterium faecium",0.0158966420576328,0.217105263157895
"Limosilactobacillus reuteri",0.655632293403191,0.78675875208383
"CrAssphage sp. C0521BW15",0.190571526321189,0.357321611852229
"Schaalia odontolytica",0.456096689688021,0.609170236227151
"Streptococcus agalactiae",0.766432483924744,0.851591648805271
"Faecalibacterium sp. I4179",0.095177423195999,0.270943029536056
"Mammaliicoccus sciuri",1,1
"Veillonella sp. S12025-13",0.940843057870922,0.968149848468759
"Streptococcus gordonii",0.294724934508216,0.450755782189037
"Bacteroides helcogenes",0.11007577052749,0.287222991689751
"Lacrimispora sphenoides",0.0804000952607764,0.265729128404261
"Paraclostridium bifermentans",0.0561919504643963,0.25071755059454
"CrAss-like virus sp.",0.00565610859728507,0.217105263157895
"Clostridium butyricum",0.0804000952607764,0.265729128404261
